,Trade Name,Generic/Proper Name(s),Active Ingredient(s),DICT _ Concern,Standardized_SMILES,Standardized_InChI,DICTrank,name,Cardiotoxicity,CT label
130,fluphenazine decanoate,fluphenazine decanoate,fluphenazine decanoate,most,CCCCCCCCCC(=O)OCC[NH+]1CC[NH+](CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,"InChI=1S/C32H44F3N3O2S/c1-2-3-4-5-6-7-8-14-31(39)40-24-23-37-21-19-36(20-22-37)17-11-18-38-27-12-9-10-13-29(27)41-30-16-15-26(25-28(30)38)32(33,34)35/h9-10,12-13,15-16,25H,2-8,11,14,17-24H2,1H3/p+2",1,fluphenazine decanoate,Heart Damage,bw
131,haloperidol decanoate,haloperidol decanoate,haloperidol decanoate,most,CCCCCCCCCC(=O)OC1(c2ccc(Cl)cc2)CC[NH+](CCCC(=O)c2ccc(F)cc2)CC1,"InChI=1S/C31H41ClFNO3/c1-2-3-4-5-6-7-8-11-30(36)37-31(26-14-16-27(32)17-15-26)20-23-34(24-21-31)22-9-10-29(35)25-12-18-28(33)19-13-25/h12-19H,2-11,20-24H2,1H3/p+1",1,haloperidol decanoate,Mixed,bw
132,propafenone,propafenone hydrochloride,propafenone,most,CCC[NH2+]CC(O)COc1ccccc1C(=O)CCc1ccccc1,"InChI=1S/C21H27NO3/c1-2-14-22-15-18(23)16-25-21-11-7-6-10-19(21)20(24)13-12-17-8-4-3-5-9-17/h3-11,18,22-23H,2,12-16H2,1H3/p+1",1,propafenone hydrochloride,Mixed,wp
133,cerdelga,eliglustat,eliglustat,most,CCCCCCCC(=O)NC(C[NH+]1CCCC1)C(O)c1ccc2c(c1)OCCO2,"InChI=1S/C23H36N2O4/c1-2-3-4-5-6-9-22(26)24-19(17-25-12-7-8-13-25)23(27)18-10-11-20-21(16-18)29-15-14-28-20/h10-11,16,19,23,27H,2-9,12-15,17H2,1H3,(H,24,26)/p+1",1,eliglustat,Arrhythmia,wp
134,adenosine,adenosine,adenosine,most,N=c1[n-]cnc2c1ncn2C1OC(CO)C(O)C1O,"InChI=1S/C10H12N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H-,11,12,13)/q-1",1,adenosine,Arrhythmia,wp
135,zelboraf,vemurafenib,vemurafenib,most,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F,"InChI=1S/C23H18ClF2N3O3S/c1-2-9-33(31,32)29-19-8-7-18(25)20(21(19)26)22(30)17-12-28-23-16(17)10-14(11-27-23)13-3-5-15(24)6-4-13/h3-8,10-12,29H,2,9H2,1H3,(H,27,28)",1,vemurafenib,Arrhythmia,wp
136,brilinta,ticagrelor,ticagrelor,most,CCCSc1nc(=NC2CC2c2ccc(F)c(F)c2)c2nnn(C3CC(OCCO)C(O)C3O)c2[n-]1,"InChI=1S/C23H27F2N6O4S/c1-2-7-36-23-27-21(26-15-9-12(15)11-3-4-13(24)14(25)8-11)18-22(28-23)31(30-29-18)16-10-17(35-6-5-32)20(34)19(16)33/h3-4,8,12,15-17,19-20,32-34H,2,5-7,9-10H2,1H3/q-1",1,ticagrelor,Arrhythmia,wp
137,chloroquine phosphate,chloroquine phosphate,chloroquine phosphate,most,CC[NH+](CC)CCCC(C)N=c1cc[n-]c2cc(Cl)ccc12,"InChI=1S/C18H25ClN3/c1-4-22(5-2)12-6-7-14(3)21-17-10-11-20-18-13-15(19)8-9-16(17)18/h8-11,13-14H,4-7,12H2,1-3H3/q-1/p+1",1,chloroquine phosphate,Mixed,wp
138,,dexfenfluramine,dexfenfluramine,most,CC[NH2+]C(C)Cc1cccc(C(F)(F)F)c1,"InChI=1S/C12H16F3N/c1-3-16-9(2)7-10-5-4-6-11(8-10)12(13,14)15/h4-6,8-9,16H,3,7H2,1-2H3/p+1",1,dexfenfluramine,Heart Damage,Withdraw
139,qinlock,ripretinib,ripretinib,most,CCn1c(=O)c(-c2cc(NC(=O)Nc3ccccc3)c(F)cc2Br)cc2c[n-]c(=NC)cc21,"InChI=1S/C24H21BrFN5O2/c1-3-31-21-12-22(27-2)28-13-14(21)9-17(23(31)32)16-10-20(19(26)11-18(16)25)30-24(33)29-15-7-5-4-6-8-15/h4-13H,3H2,1-2H3,(H3,27,28,29,30,32,33)/p-1",1,ripretinib,Heart Damage,wp
140,vardenafil hydrochloride,vardenafil hydrochloride,vardenafil,most,CCCc1nc(C)c2c(=O)[n-]c(-c3cc(S(=O)(=O)[NH+]4CC[NH+](CC)CC4)ccc3OCC)nn12,"InChI=1S/C23H32N6O4S/c1-5-8-20-24-16(4)21-23(30)25-22(26-29(20)21)18-15-17(9-10-19(18)33-7-3)34(31,32)28-13-11-27(6-2)12-14-28/h9-10,15H,5-8,11-14H2,1-4H3,(H,25,26,30)/p+1",1,vardenafil hydrochloride,Arrhythmia,wp
141,barhemsys,amisulpride,amisulpride,most,CC[NH+]1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,"InChI=1S/C17H27N3O4S/c1-4-20-8-6-7-12(20)11-19-17(21)13-9-16(25(22,23)5-2)14(18)10-15(13)24-3/h9-10,12H,4-8,11,18H2,1-3H3,(H,19,21)/p+1",1,amisulpride,Arrhythmia,wp
142,sprycel,dasatinib,dasatinib,most,Cc1nc(=Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CC[NH+](CCO)CC2)[n-]1,"InChI=1S/C22H26ClN7O2S/c1-14-4-3-5-16(23)20(14)28-21(32)17-13-24-22(33-17)27-18-12-19(26-15(2)25-18)30-8-6-29(7-9-30)10-11-31/h3-5,12-13,31H,6-11H2,1-2H3,(H2,24,25,26,27,28,32)",1,dasatinib,Mixed,wp
143,trovan,trovafloxacin mesylate,trovafloxacin mesylate,most,[NH3+]C1C2CN(c3nc4c(cc3F)c(=O)c(C(=O)[O-])cn4-c3ccc(F)cc3F)CC12,"InChI=1S/C20H15F3N4O3/c21-8-1-2-15(13(22)3-8)27-7-12(20(29)30)17(28)9-4-14(23)19(25-18(9)27)26-5-10-11(6-26)16(10)24/h1-4,7,10-11,16H,5-6,24H2,(H,29,30)",1,trovafloxacin mesylate,Heart Damage,wp
144,,lidoflazine,lidoflazine,most,Cc1cccc(C)c1NC(=O)C[NH+]1CC[NH+](CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,"InChI=1S/C30H35F2N3O/c1-22-5-3-6-23(2)30(22)33-29(36)21-35-19-17-34(18-20-35)16-4-7-28(24-8-12-26(31)13-9-24)25-10-14-27(32)15-11-25/h3,5-6,8-15,28H,4,7,16-21H2,1-2H3,(H,33,36)/p+2",1,lidoflazine,Arrhythmia,Withdraw
145,lupkynis,voclosporin,voclosporin,most,C=CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)[NH+](C)CC(=O)[NH+](C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)[NH+](C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)[NH+](C)C(CC(C)C)C(=O)[NH+](C)C(CC(C)C)C(=O)[NH+](C)C(C(C)C)C(=O)[NH+]1C,"InChI=1S/C63H111N11O12/c1-25-27-28-29-41(15)53(76)52-57(80)66-44(26-2)59(82)68(18)34-49(75)69(19)45(30-35(3)4)56(79)67-50(39(11)12)62(85)70(20)46(31-36(5)6)55(78)64-42(16)54(77)65-43(17)58(81)71(21)47(32-37(7)8)60(83)72(22)48(33-38(9)10)61(84)73(23)51(40(13)14)63(86)74(52)24/h25,27-28,35-48,50-53,76H,1,26,29-34H2,2-24H3,(H,64,78)(H,65,77)(H,66,80)(H,67,79)/p+7",1,voclosporin,Mixed,wp
146,noxafil,posaconazole,posaconazole; posaconazole,most,CCC(C(C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,"InChI=1S/C37H42F2N8O4/c1-3-35(26(2)48)47-36(49)46(25-42-47)31-7-5-29(6-8-31)43-14-16-44(17-15-43)30-9-11-32(12-10-30)50-20-27-19-37(51-21-27,22-45-24-40-23-41-45)33-13-4-28(38)18-34(33)39/h4-13,18,23-27,35,48H,3,14-17,19-22H2,1-2H3",1,posaconazole,Arrhythmia,wp
147,haloperidol,haloperidol lactate,haloperidol lactate,most,O=C(CCC[NH+]1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,"InChI=1S/C21H23ClFNO2/c22-18-7-5-17(6-8-18)21(26)11-14-24(15-12-21)13-1-2-20(25)16-3-9-19(23)10-4-16/h3-10,26H,1-2,11-15H2/p+1",1,haloperidol lactate,Mixed,bw
148,farydak,panobinostat,panobinostat lactate,most,Cc1[nH]c2ccccc2c1CC[NH2+]Cc1ccc(C=CC(O)=NO)cc1,"InChI=1S/C21H23N3O2/c1-15-18(19-4-2-3-5-20(19)23-15)12-13-22-14-17-8-6-16(7-9-17)10-11-21(25)24-26/h2-11,22-23,26H,12-14H2,1H3,(H,24,25)/p+1",1,panobinostat,Mixed,bw
149,milrinone lactate,milrinone lactate,milrinone lactate,most,Cc1[n-]c(=O)c(C#N)cc1-c1ccncc1,"InChI=1S/C12H9N3O/c1-8-11(9-2-4-14-5-3-9)6-10(7-13)12(16)15-8/h2-6H,1H3,(H,14,15,16)/p-1",1,milrinone lactate,Arrhythmia,wp
150,flecainide acetate,flecainide acetate,flecainide acetate,most,O=C(NCC1CCCC[NH2+]1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,"InChI=1S/C17H20F6N2O3/c18-16(19,20)9-27-12-4-5-14(28-10-17(21,22)23)13(7-12)15(26)25-8-11-3-1-2-6-24-11/h4-5,7,11,24H,1-3,6,8-10H2,(H,25,26)/p+1",1,flecainide acetate,Mixed,bw
151,vantas,histrelin acetate,histrelin acetate,most,CCNC(=O)C1CCC[NH+]1C(=O)C(CCCNC(N)=[NH2+])NC(=O)C(CC(C)C)NC(=O)C(Cc1cn(Cc2ccccc2)cn1)NC(=O)C(Cc1ccc([O-])cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1cnc[n-]1)NC(=O)C1CCC(=O)N1,"InChI=1S/C66H86N18O12/c1-4-70-64(95)55-17-11-25-84(55)65(96)48(16-10-24-71-66(67)68)76-58(89)49(26-38(2)3)77-62(93)53(30-43-34-83(37-74-43)33-40-12-6-5-7-13-40)81-59(90)50(27-39-18-20-44(86)21-19-39)78-63(94)54(35-85)82-60(91)51(28-41-31-72-46-15-9-8-14-45(41)46)79-61(92)52(29-42-32-69-36-73-42)80-57(88)47-22-23-56(87)75-47/h5-9,12-15,18-21,31-32,34,36-38,47-55,72,85H,4,10-11,16-17,22-30,33,35H2,1-3H3,(H15,67,68,69,70,71,73,75,76,77,78,79,80,81,82,86,87,88,89,90,91,92,93,94,95)",1,histrelin acetate,Mixed,wp
152,gilenya,fingolimod hcl,fingolimod hydrochloride,most,CCCCCCCCc1ccc(CCC([NH3+])(CO)CO)cc1,"InChI=1S/C19H33NO2/c1-2-3-4-5-6-7-8-17-9-11-18(12-10-17)13-14-19(20,15-21)16-22/h9-12,21-22H,2-8,13-16,20H2,1H3/p+1",1,fingolimod hcl,Mixed,wp
153,dyanavel xr; dyanavel xr,amphetamine,amphetamine,most,CC([NH3+])Cc1ccccc1,"InChI=1S/C9H13N/c1-8(10)7-9-5-3-2-4-6-9/h2-6,8H,7,10H2,1H3/p+1",1,amphetamine,Mixed,wp
154,xcopri; xcopri maintenance pack; xcopri titration pack,cenobamate,cenobamate,most,NC(=O)OC(Cn1ncnn1)c1ccccc1Cl,"InChI=1S/C10H10ClN5O2/c11-8-4-2-1-3-7(8)9(18-10(12)17)5-16-14-6-13-15-16/h1-4,6,9H,5H2,(H2,12,17)",1,cenobamate,Arrhythmia,wp
155,ropinirole hydrochloride,ropinirole hydrochloride,ropinirole hydrochloride,most,CCC[NH+](CCC)CCc1cccc2[n-]c([O-])cc12,"InChI=1S/C16H23N2O/c1-3-9-18(10-4-2)11-8-13-6-5-7-15-14(13)12-16(19)17-15/h5-7,12,19H,3-4,8-11H2,1-2H3/q-1",1,ropinirole hydrochloride,Heart Damage,wp
156,,clobutinol,clobutinol,most,CC(C[NH+](C)C)C(C)(O)Cc1ccc(Cl)cc1,"InChI=1S/C14H22ClNO/c1-11(10-16(3)4)14(2,17)9-12-5-7-13(15)8-6-12/h5-8,11,17H,9-10H2,1-4H3/p+1",1,clobutinol,Arrhythmia,Withdraw
157,labetalol hydrochloride,labetalol hydrochloride,labetalol,most,CC(CCc1ccccc1)[NH2+]CC(O)c1ccc([O-])c(C(N)=O)c1,"InChI=1S/C19H24N2O3/c1-13(7-8-14-5-3-2-4-6-14)21-12-18(23)15-9-10-17(22)16(11-15)19(20)24/h2-6,9-11,13,18,21-23H,7-8,12H2,1H3,(H2,20,24)",1,labetalol hydrochloride,Heart Damage,wp
158,,prenylamine,prenylamine,most,CC(Cc1ccccc1)[NH2+]CCC(c1ccccc1)c1ccccc1,"InChI=1S/C24H27N/c1-20(19-21-11-5-2-6-12-21)25-18-17-24(22-13-7-3-8-14-22)23-15-9-4-10-16-23/h2-16,20,24-25H,17-19H2,1H3/p+1",1,prenylamine,Arrhythmia,Withdraw
159,,benfluorex,benfluorex,most,CC(Cc1cccc(C(F)(F)F)c1)[NH2+]CCOC(=O)c1ccccc1,"InChI=1S/C19H20F3NO2/c1-14(12-15-6-5-9-17(13-15)19(20,21)22)23-10-11-25-18(24)16-7-3-2-4-8-16/h2-9,13-14,23H,10-12H2,1H3/p+1",1,benfluorex,Heart Damage,Withdraw
160,,terodiline,terodiline,most,CC(CC(c1ccccc1)c1ccccc1)[NH2+]C(C)(C)C,"InChI=1S/C20H27N/c1-16(21-20(2,3)4)15-19(17-11-7-5-8-12-17)18-13-9-6-10-14-18/h5-14,16,19,21H,15H2,1-4H3/p+1",1,terodiline,Arrhythmia,Withdraw
161,zykadia,ceritinib,ceritinib,most,Cc1cc(N=c2[n-]cc(Cl)c(=Nc3ccccc3S(=O)(=O)C(C)C)[n-]2)c(OC(C)C)cc1C1CC[NH2+]CC1,"InChI=1S/C28H34ClN5O3S/c1-17(2)37-25-15-21(20-10-12-30-13-11-20)19(5)14-24(25)33-28-31-16-22(29)27(34-28)32-23-8-6-7-9-26(23)38(35,36)18(3)4/h6-9,14-18,20,30H,10-13H2,1-5H3/q-2/p+1",1,ceritinib,Arrhythmia,wp
162,atenolol,atenolol,atenolol,most,CC(C)[NH2+]CC(O)COc1ccc(CC(N)=O)cc1,"InChI=1S/C14H22N2O3/c1-10(2)16-8-12(17)9-19-13-5-3-11(4-6-13)7-14(15)18/h3-6,10,12,16-17H,7-9H2,1-2H3,(H2,15,18)/p+1",1,atenolol,Heart Damage,wp
163,nexplanon,etonogestrel,etonogestrel,most,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3C(=C)CC21CC,"InChI=1S/C22H28O2/c1-4-21-13-14(3)20-17-9-7-16(23)12-15(17)6-8-18(20)19(21)10-11-22(21,24)5-2/h2,6,17-20,24H,3-4,7-13H2,1H3",1,etonogestrel,Heart Damage,wp
164,methadone hydrochloride,methadone hydrochloride,methadone hydrochloride,most,CCC(=O)C(CC(C)[NH+](C)C)(c1ccccc1)c1ccccc1,"InChI=1S/C21H27NO/c1-5-20(23)21(16-17(2)22(3)4,18-12-8-6-9-13-18)19-14-10-7-11-15-19/h6-15,17H,5,16H2,1-4H3/p+1",1,methadone hydrochloride,Mixed,bw
165,midazolam,midazolam hydrochloride,midazolam hydrochloride,most,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,"InChI=1S/C18H13ClFN3/c1-11-21-9-13-10-22-18(14-4-2-3-5-16(14)20)15-8-12(19)6-7-17(15)23(11)13/h2-9H,10H2,1H3",1,midazolam hydrochloride,Arrhythmia,wp
166,ingrezza,valbenazine,valbenazine tosylate,most,COc1cc2c(cc1OC)C1CC(OC(=O)C([NH3+])C(C)C)C(CC(C)C)C[NH+]1CC2,"InChI=1S/C24H38N2O4/c1-14(2)9-17-13-26-8-7-16-10-21(28-5)22(29-6)11-18(16)19(26)12-20(17)30-24(27)23(25)15(3)4/h10-11,14-15,17,19-20,23H,7-9,12-13,25H2,1-6H3/p+2",1,valbenazine,Arrhythmia,wp
167,inrebic,fedratinib hydrochloride,fedratinib hydrochloride,most,Cc1c[n-]c(=Nc2ccc(OCC[NH+]3CCCC3)cc2)[n-]c1=Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,"InChI=1S/C27H34N6O3S/c1-20-19-28-26(30-21-10-12-23(13-11-21)36-17-16-33-14-5-6-15-33)31-25(20)29-22-8-7-9-24(18-22)37(34,35)32-27(2,3)4/h7-13,18-19,32H,5-6,14-17H2,1-4H3/q-2/p+1",1,fedratinib hydrochloride,Heart Damage,wp
168,phentolamine mesylate,phentolamine mesylate,phentolamine mesylate,most,Cc1ccc(N(CC2=[NH+]CCN2)c2cccc([O-])c2)cc1,"InChI=1S/C17H19N3O/c1-13-5-7-14(8-6-13)20(12-17-18-9-10-19-17)15-3-2-4-16(21)11-15/h2-8,11,21H,9-10,12H2,1H3,(H,18,19)",1,phentolamine mesylate,Mixed,wp
169,celecoxib,celecoxib,celecoxib,most,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,"InChI=1S/C17H14F3N3O2S/c1-11-2-4-12(5-3-11)15-10-16(17(18,19)20)22-23(15)13-6-8-14(9-7-13)26(21,24)25/h2-10H,1H3,(H2,21,24,25)",1,celecoxib,Heart Damage,bw
170,ciprofloxacin,ciprofloxacin,ciprofloxacin hydrochloride,most,O=C([O-])c1cn(C2CC2)c2cc(N3CC[NH2+]CC3)c(F)cc2c1=O,"InChI=1S/C17H18FN3O3/c18-13-7-11-14(8-15(13)20-5-3-19-4-6-20)21(10-1-2-10)9-12(16(11)22)17(23)24/h7-10,19H,1-6H2,(H,23,24)",1,ciprofloxacin,Arrhythmia,wp
171,stivarga,regorafenib,regorafenib monohydrate,most,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,"InChI=1S/C21H15ClF4N4O3/c1-27-19(31)18-10-13(6-7-28-18)33-12-3-5-17(16(23)9-12)30-20(32)29-11-2-4-15(22)14(8-11)21(24,25)26/h2-10H,1H3,(H,27,31)(H2,29,30,32)",1,regorafenib,Heart Damage,wp
172,ketorolac tromethamine,ketorolac tromethamine,ketorolac tromethamine,most,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)[O-],"InChI=1S/C15H13NO3/c17-14(10-4-2-1-3-5-10)13-7-6-12-11(15(18)19)8-9-16(12)13/h1-7,11H,8-9H2,(H,18,19)/p-1",1,ketorolac tromethamine,Heart Damage,bw
173,bosulif,bosutinib monohydrate,bosutinib monohydrate,most,COc1cc(N=c2c(C#N)c[n-]c3cc(OCCC[NH+]4CC[NH+](C)CC4)c(OC)cc23)c(Cl)cc1Cl,"InChI=1S/C26H28Cl2N5O3/c1-32-6-8-33(9-7-32)5-4-10-36-25-13-21-18(11-24(25)35-3)26(17(15-29)16-30-21)31-22-14-23(34-2)20(28)12-19(22)27/h11-14,16H,4-10H2,1-3H3/q-1/p+2",1,bosutinib monohydrate,Heart Damage,wp
174,,orciprenaline,orciprenaline,most,CC(C)[NH2+]CC(O)c1cc([O-])cc([O-])c1,"InChI=1S/C11H17NO3/c1-7(2)12-6-11(15)8-3-9(13)5-10(14)4-8/h3-5,7,11-15H,6H2,1-2H3/p-1",1,orciprenaline,Arrhythmia,Withdraw
175,propranolol hydrochloride,propranolol hydrochloride,propranolol hydrochloride,most,CC(C)[NH2+]CC(O)COc1cccc2ccccc12,"InChI=1S/C16H21NO2/c1-12(2)17-10-14(18)11-19-16-9-5-7-13-6-3-4-8-15(13)16/h3-9,12,14,17-18H,10-11H2,1-2H3/p+1",1,propranolol hydrochloride,Mixed,wp
176,sulindac,sulindac,sulindac,most,CC1=C(CC(=O)[O-])c2cc(F)ccc2C1=Cc1ccc([S+](C)O)cc1,"InChI=1S/C20H17FO3S/c1-12-17(9-13-3-6-15(7-4-13)25(2)24)16-8-5-14(21)10-19(16)18(12)11-20(22)23/h3-10,24H,11H2,1-2H3",1,sulindac,Heart Damage,bw
177,mefenamic acid,mefenamic acid,mefenamic acid,most,Cc1cccc(Nc2ccccc2C(=O)[O-])c1C,"InChI=1S/C15H15NO2/c1-10-6-5-9-13(11(10)2)16-14-8-4-3-7-12(14)15(17)18/h3-9,16H,1-2H3,(H,17,18)/p-1",1,mefenamic acid,Heart Damage,bw
178,nalfon,fenoprofen calcium,fenoprofen calcium,most,CC(C(=O)[O-])c1cccc(Oc2ccccc2)c1,"InChI=1S/C15H14O3/c1-11(15(16)17)12-6-5-9-14(10-12)18-13-7-3-2-4-8-13/h2-11H,1H3,(H,16,17)/p-1",1,fenoprofen calcium,Heart Damage,bw
179,succinylcholine chloride,succinylcholine chloride,succinylcholine chloride dihydrate,most,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,"InChI=1S/C14H30N2O4/c1-15(2,3)9-11-19-13(17)7-8-14(18)20-12-10-16(4,5)6/h7-12H2,1-6H3/q+2",1,succinylcholine chloride,Arrhythmia,bw
180,mexiletine hydrochloride,mexiletine hydrochloride,mexiletine hydrochloride,most,Cc1cccc(C)c1OCC(C)[NH3+],"InChI=1S/C11H17NO/c1-8-5-4-6-9(2)11(8)13-7-10(3)12/h4-6,10H,7,12H2,1-3H3/p+1",1,mexiletine hydrochloride,Arrhythmia,bw
181,lucemyra,lofexidine hydrochloride,lofexidine hydrochloride,most,CC(Oc1c(Cl)cccc1Cl)C1=[NH+]CCN1,"InChI=1S/C11H12Cl2N2O/c1-7(11-14-5-6-15-11)16-10-8(12)3-2-4-9(10)13/h2-4,7H,5-6H2,1H3,(H,14,15)/p+1",1,lofexidine hydrochloride,Mixed,wp
182,clarithromycin,clarithromycin,clarithromycin,most,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC([NH+](C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O,"InChI=1S/C38H69NO13/c1-15-26-38(10,45)31(42)21(4)28(40)19(2)17-37(9,47-14)33(52-35-29(41)25(39(11)12)16-20(3)48-35)22(5)30(23(6)34(44)50-26)51-27-18-36(8,46-13)32(43)24(7)49-27/h19-27,29-33,35,41-43,45H,15-18H2,1-14H3/p+1",1,clarithromycin,Arrhythmia,wp
183,,levomethadyl acetate,levomethadyl acetate,most,CCC(OC(C)=O)C(CC(C)[NH+](C)C)(c1ccccc1)c1ccccc1,"InChI=1S/C23H31NO2/c1-6-22(26-19(3)25)23(17-18(2)24(4)5,20-13-9-7-10-14-20)21-15-11-8-12-16-21/h7-16,18,22H,6,17H2,1-5H3/p+1",1,levomethadyl acetate,Arrhythmia,Withdraw
184,paliperidone,paliperidone,paliperidone,most,Cc1nc2n(c(=O)c1CC[NH+]1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,"InChI=1S/C23H27FN4O3/c1-14-17(23(30)28-9-2-3-19(29)22(28)25-14)8-12-27-10-6-15(7-11-27)21-18-5-4-16(24)13-20(18)31-26-21/h4-5,13,15,19,29H,2-3,6-12H2,1H3/p+1",1,paliperidone,Arrhythmia,wp
185,ifosfamide,ifosfamide,ifosfamide,most,O=P1([NH2+]CCCl)OCCC[NH+]1CCCl,"InChI=1S/C7H15Cl2N2O2P/c8-2-4-10-14(12)11(6-3-9)5-1-7-13-14/h1-7H2,(H,10,12)/p+2",1,ifosfamide,Mixed,wp
186,esmolol hydrochloride,esmolol hydrochloride,esmolol hydrochloride,most,COC(=O)CCc1ccc(OCC(O)C[NH2+]C(C)C)cc1,"InChI=1S/C16H25NO4/c1-12(2)17-10-14(18)11-21-15-7-4-13(5-8-15)6-9-16(19)20-3/h4-5,7-8,12,14,17-18H,6,9-11H2,1-3H3/p+1",1,esmolol hydrochloride,Mixed,wp
187,multaq,dronedarone,dronedarone,most,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCC[NH+](CCCC)CCCC)cc1,"InChI=1S/C31H44N2O5S/c1-5-8-12-29-30(27-23-25(32-39(4,35)36)15-18-28(27)38-29)31(34)24-13-16-26(17-14-24)37-22-11-21-33(19-9-6-2)20-10-7-3/h13-18,23,32H,5-12,19-22H2,1-4H3/p+1",1,dronedarone,Mixed,bw
188,ixempra,ixabepilone,ixabepilone,most,CC(=Cc1csc(C)n1)C1CC2OC2(C)CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)N1,"InChI=1S/C27H42N2O5S/c1-15-9-8-10-27(7)22(34-27)12-20(16(2)11-19-14-35-18(4)28-19)29-23(31)13-21(30)26(5,6)25(33)17(3)24(15)32/h11,14-15,17,20-22,24,30,32H,8-10,12-13H2,1-7H3,(H,29,31)",1,ixabepilone,Mixed,wp
189,factive,gemifloxacin mesylate,gemifloxacin mesylate,most,CON=C1CN(c2nc3c(cc2F)c(=O)c(C(=O)[O-])cn3C2CC2)CC1C[NH3+],"InChI=1S/C18H20FN5O4/c1-28-22-14-8-23(6-9(14)5-20)17-13(19)4-11-15(25)12(18(26)27)7-24(10-2-3-10)16(11)21-17/h4,7,9-10H,2-3,5-6,8,20H2,1H3,(H,26,27)",1,gemifloxacin mesylate,Arrhythmia,wp
190,definity rt,perflutren,perflutren,most,FC(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C3F8/c4-1(5,2(6,7)8)3(9,10)11",1,perflutren,Mixed,bw
191,tibsovo,ivosidenib,ivosidenib,most,N#Cc1ccnc([NH+]2C(=O)CCC2C(=O)[NH+](c2cncc(F)c2)C(C(=O)NC2CC(F)(F)C2)c2ccccc2Cl)c1,"InChI=1S/C28H22ClF3N6O3/c29-21-4-2-1-3-20(21)25(26(40)36-18-11-28(31,32)12-18)37(19-10-17(30)14-34-15-19)27(41)22-5-6-24(39)38(22)23-9-16(13-33)7-8-35-23/h1-4,7-10,14-15,18,22,25H,5-6,11-12H2,(H,36,40)/p+2",1,ivosidenib,Arrhythmia,wp
192,diclofenac potassium,diclofenac potassium,diclofenac potassium,most,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl,"InChI=1S/C14H11Cl2NO2/c15-10-5-3-6-11(16)14(10)17-12-7-2-1-4-9(12)8-13(18)19/h1-7,17H,8H2,(H,18,19)/p-1",1,diclofenac potassium,Heart Damage,bw
193,potassium acetate,potassium acetate,potassium acetate,most,CC(=O)[O-],"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/p-1",1,potassium acetate,Arrhythmia,wp
194,tagrisso,osimertinib,osimertinib,most,C=CC(=O)Nc1cc(N=c2nc(-c3cn(C)c4ccccc34)cc[n-]2)c(OC)cc1N(C)CC[NH+](C)C,"InChI=1S/C28H33N7O2/c1-7-27(36)30-22-16-23(26(37-6)17-25(22)34(4)15-14-33(2)3)32-28-29-13-12-21(31-28)20-18-35(5)24-11-9-8-10-19(20)24/h7-13,16-18H,1,14-15H2,2-6H3,(H2,29,30,31,32,36)",1,osimertinib,Mixed,wp
195,lithium,lithium,lithium citrate,most,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-],"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)/p-3",1,lithium,Mixed,wp
